Name,Notes,Address Short,City State Zip,Address Consolidated,Latitude,Longitude
Impact LA,1st and 3rd Friday 10:00 am - 2:00 PM,811 W. 7th Street Suite# 1236,"Los Angeles, CA 90017, United States","811 W. 7th Street Suite# 1236 Los Angeles, CA 90017, United States",34.0490854,-118.259013
Imperial Church of Christ,2nd & 4th Saturday 8am-9am,11316 S. San Pedro Street,"Los Angeles, CA 90061, United States","11316 S. San Pedro Street Los Angeles, CA 90061, United States",33.9315739,-118.269153
Indonesian American SDA Church,"1st,2nd, 3rd Tuseday 11:30am-1:00pm",803 W. First St,"Azusa, CA 91702, United States","803 W. First St Azusa, CA 91702, United States",34.1220226,-117.9167297
Inglewood Church of Christ,2nd Saturday 11am - 1 PM,323 S. Eucalyptus Ave.,"Inglewood, CA 90301, United States","323 S. Eucalyptus Ave. Inglewood, CA 90301, United States",33.9595298,-118.3598947
Inglewood Southside Christian Church,Saturday 10am - 1pm,3947 W. 104th Street,"Inglewood, CA 90303, United States","3947 W. 104th Street Inglewood, CA 90303, United States",33.9421127,-118.3433255
Inglewood Wrapping Arms Around the Community,2nd & 4th Sunday 9am-12pm,650 E Manchester Ave.,"Inglewood, CA 90301, United States","650 E Manchester Ave. Inglewood, CA 90301, United States",33.960159,-118.346893
Inglewood Wrapping Arms Around the Community / Masjid Bilal Islamic Center,Saturday 9am-12pm,4016 S. Central Ave,"Los Angeles, CA 90011, United States","4016 S. Central Ave Los Angeles, CA 90011, United States",34.0106632,-118.2557678
Inland Valley Hope Partners,Monday - Thursday  9 am - 2:30 pm,"209 W. Pearl Street, Suite J104 *knock on door","Pomona, CA 91766, United States","209 W. Pearl Street, Suite J104 *knock on door Pomona, CA 91766, United States",34.0649148,-117.7524328
Inland Valley Hope Partners,Tuesday 9 am - 4 pm,660 N. Mountain Avenue,"Claremont, CA 91711, United States","660 N. Mountain Avenue Claremont, CA 91711, United States",34.0998744,-117.7281741
Inland Valley Hope Partners,"Monday, Wednesday, Friday  2 pm - 4 pm",110 E. 3rd Street,"San Dimas, CA 91773, United States","110 E. 3rd Street San Dimas, CA 91773, United States",34.1096106,-117.8066779
Inland Valley Hope Partners,Monday - Thursday  9 am - 3 pm,904 E. California Street,"Ontario, CA 91761, United States","904 E. California Street Ontario, CA 91761, United States",34.0555515,-117.6363812
Inner City Child Development &Youth Foundation,Thurdsay 11am- 1pm,8928 Figueroa St,"Los Angeles, CA 90003, United States","8928 Figueroa St Los Angeles, CA 90003, United States",33.9553598,-118.2824677
Interfaith Food Center,"Monday, Tuesday & Friday  8:30 am -10 am , 10:30 am - 12 pm & Tuesday 4:30 pm - 6:30 pm",11819 Burke Street,"Santa Fe Springs, CA 90670, United States","11819 Burke Street Santa Fe Springs, CA 90670, United States",33.9629368,-118.0650538
International Families Association,Monday 12pm-4pm,240 S. Glendale Ave,"Glendale, CA 91205, United States","240 S. Glendale Ave Glendale, CA 91205, United States",34.143183,-118.2483963
Islah L.A.,Saturday 10am-2pm,2900 Slauson Ave.,"Los Angeles, CA 90043, United States","2900 Slauson Ave. Los Angeles, CA 90043, United States",33.9888533,-118.3246887
Islamic Center of Southern CA - Hope Net,Saturday 9:30 am - 11 am,434 S. Vermont Boulevard,"Los Angeles, CA 90020, United States","434 S. Vermont Boulevard Los Angeles, CA 90020, United States",34.0665598,-118.2916754
IVCINYA Foundation,"Thursday 10/02, 10/16, 10/30, 11/13, 11/27, 12/11, 12/25  9am-1pm",8928 Figueroa St,"Los Angeles, CA 90003, United States","8928 Figueroa St Los Angeles, CA 90003, United States",33.9553598,-118.2824677
Jeremiah 1:10 Corporation,Thursday 10am - 11 am,10896 Lehigh Ave,"Pacoima, CA 91331, United States","10896 Lehigh Ave Pacoima, CA 91331, United States",34.2687979,-118.4153519
Jesucristo el Mana,Wednesday 5:30pm-6:30pm,12838 Atlantic Ave,"Compton, CA 90221, United States","12838 Atlantic Ave Compton, CA 90221, United States",33.9050543,-118.1937958
Jesus House Palmdale,2nd & 4th Monday 12pm - 2pm,313 E. Palmdale Blvd,"Units A,  B, Palmdale, CA 93590, United States","313 E. Palmdale Blvd Units A,  B, Palmdale, CA 93590, United States",34.580373,-118.1243146
JFS/SOVA Community Food & Resource Program,Monday-Thursday 10am-1:30pm & Sundays 9am-12pm,8846 W. Pico Boulevard,"Los Angeles, CA 90035, United States","8846 W. Pico Boulevard Los Angeles, CA 90035, United States",34.0547865,-118.3848465
JFS/SOVA Community Food & Resource Program,1st & 3rd Friday 9am-11am,801 N. Kings Road,"West Hollywood, CA 90069, United States","801 N. Kings Road West Hollywood, CA 90069, United States",34.0856463,-118.3721303
JFS/SOVA Community Food & Resource Program,Tuesday 10am-12pm,7377 Santa Monica Blvd,"Los Angeles, CA 90046, United States","7377 Santa Monica Blvd Los Angeles, CA 90046, United States",34.0927831,-118.3511258
JFS/SOVA Community Food & Resource Program,"Monday- Wednesday 10 am - 2:30 pm, Sunday 9am - 12 pm",16439 Vanowen Street,"Van Nuys, CA 91406, United States","16439 Vanowen Street Van Nuys, CA 91406, United States",34.1946798,-118.4917628
Joseph Jacob United Church of God In Christ Inc,2nd Wednesday 10am-11:30am,16303 Orange Ave,"Paramount, CA 90723, United States","16303 Orange Ave Paramount, CA 90723, United States",33.8863024,-118.1778124
Journey of Love,1st Tuesday 6pm - 7:30pm,423 S San Pedro,"Los Angeles, CA 90013, United States","423 S San Pedro Los Angeles, CA 90013, United States",34.045339,-118.2436626
Journey of Love,"Last Friday 8 am - 10 am  OPEN 11/26, CLOSED 11/28",20320 Norwalk Blvd,"Lakewood, CA 90715, United States","20320 Norwalk Blvd Lakewood, CA 90715, United States",33.8455214,-118.0716868
Journey of Love,2nd Friday 8am-10am,12005 Garfield Ave,"South Gate, CA 90302, United States","12005 Garfield Ave South Gate, CA 90302, United States",33.9177192,-118.1693152
Justice for Murdered Children,"2nd, 3rd & 4th Saturday 1pm - 3pm",1039 Elberon Ave,"San Pedro, CA 90732, United States","1039 Elberon Ave San Pedro, CA 90732, United States",33.7481948,-118.299846
Karsh Family Social Service Center,"Tuesday 12:00 pm - 2:00 pm, Sundays 8:00 am - 9:30 am",3750 W. 6th Street,"Los Angeles, CA 90020, United States","3750 W. 6th Street Los Angeles, CA 90020, United States",34.0632632,-118.3044586
Kedren Community Health Center,2nd & 4th Friday 9am-11am,4211 S. Avalon Blvd,"Los Angeles, CA 90011, United States","4211 S. Avalon Blvd Los Angeles, CA 90011, United States",34.0072756,-118.2652643
Khalsa Care Foundation,Friday 4:30 pm - 6:30 pm,9989 Laurel Canyon Blvd.,"Pacoima, CA 91331, United States","9989 Laurel Canyon Blvd. Pacoima, CA 91331, United States",34.2512842,-118.4255414
Kingdom Family Network,2nd Wednesday 7pm-8pm & 4th  Saturday 9am-10am,646 S. San Antonio,"Pomona, CA 91766, United States","646 S. San Antonio Pomona, CA 91766, United States",34.0539779,-117.7362785
Korean Church of North L.A.,"1st, 3rd Saturday 9 - 10 am",8756 Woodley Ave,"North Hills, CA 91343, United States","8756 Woodley Ave North Hills, CA 91343, United States",34.2296992,-118.4848452
Koreatown Youth Community Center Inc.,3rd Friday 10 am - 11 am,1230 S. Menlo Ave #100,"Los Angeles, CA 90006, United States","1230 S. Menlo Ave #100 Los Angeles, CA 90006, United States",34.0478768,-118.2903692
La Habra Christian Church,"1st Saturday 8am - 11am, Sundays 11am-12pm",1400 Bella Vista Drive,"La Habra Heights, CA 90631, United States","1400 Bella Vista Drive La Habra Heights, CA 90631, United States",33.9500936,-117.9272674
LA Promise Fund,1st & 3rd Wednesdays 2:30pm-4pm,2340 Firestone Blvd,"South Gate, CA 90280, United States","2340 Firestone Blvd South Gate, CA 90280, United States",33.9563812,-118.2297576
La Puente Church of Christ,1st & 3rd Friday 7:30am-9:30am,15124 E. Amar Road,"La Puente, CA 91744, United States","15124 E. Amar Road La Puente, CA 91744, United States",34.0361286,-117.9346042
La Puente Foursquare Church,"Tuesday, Thursday & Saturday 10:30am-11:15am & Sunday 11:45am-12:30pm",15017 Fairgrove Ave.,"La Puente, CA 91744, United States","15017 Fairgrove Ave. La Puente, CA 91744, United States",34.0454903,-117.9536397
La Puente Spanish S.D.A. Church,2nd & 4th Wednesday 10am-11am & 7:30pm-8:30pm 2nd & 4th Saturday 12pm-1pm,18047 Valley Boulevard,"La Puente, CA 91744, United States","18047 Valley Boulevard La Puente, CA 91744, United States",34.0068113,-117.9088349
